SNID,Filename,Date,Photometric Calibration,Inverse Sensitivity,Zeropoint,Wavelength,Zeropoint AB
2005M,pantheon_data_folder/2005M/mastDownload/HLA/HST_10182_e2_NIC_NIC3_F110W/HST_10182_e2_NIC_NIC3_F110W_drz.fits,2009-12-02T14:38:21,"NICMOS,3,F110W,DN",3.787247e-19,-21.1,11200.5,23.400003872471988
2005M,pantheon_data_folder/2005M/mastDownload/HLA/HST_10182_e5_NIC_NIC3_F110W/HST_10182_e5_NIC_NIC3_F110W_drz.fits,2009-12-02T14:38:35,"NICMOS,3,F110W,DN",3.787247e-19,-21.1,11200.5,23.400003872471988
2005M,pantheon_data_folder/2005M/mastDownload/HLA/HST_10182_e1_NIC_NIC3_F160W/HST_10182_e1_NIC_NIC3_F160W_drz.fits,2009-12-02T14:38:11,"NICMOS,3,F160W,DN",2.2405583e-19,-21.1,16041.6,23.189870963162793
2005M,pantheon_data_folder/2005M/mastDownload/HLA/HST_10182_e4_NIC_NIC3_F110W/HST_10182_e4_NIC_NIC3_F110W_drz.fits,2009-12-02T14:38:33,"NICMOS,3,F110W,DN",3.787247e-19,-21.1,11200.5,23.400003872471988
2005M,pantheon_data_folder/2005M/mastDownload/HLA/HST_10182_e3_NIC_NIC3_F110W/HST_10182_e3_NIC_NIC3_F110W_drz.fits,2009-12-02T14:38:39,"NICMOS,3,F110W,DN",3.787247e-19,-21.1,11200.5,23.400003872471988
2005M,pantheon_data_folder/2005M/mastDownload/HLA/HST_10182_e5_NIC_NIC3_F160W/HST_10182_e5_NIC_NIC3_F160W_drz.fits,2009-12-02T14:38:44,"NICMOS,3,F160W,DN",2.2405583e-19,-21.1,16041.6,23.189870963162793
2005M,pantheon_data_folder/2005M/mastDownload/HLA/HST_10182_e1_NIC_NIC3_F110W/HST_10182_e1_NIC_NIC3_F110W_drz.fits,2009-12-02T14:38:21,"NICMOS,3,F110W,DN",3.787247e-19,-21.1,11200.5,23.400003872471988
2005M,pantheon_data_folder/2005M/mastDownload/HLA/HST_10182_e2_NIC_NIC3_F160W/HST_10182_e2_NIC_NIC3_F160W_drz.fits,2009-12-02T14:38:32,"NICMOS,3,F160W,DN",2.2405583e-19,-21.1,16041.6,23.189870963162793
2005M,pantheon_data_folder/2005M/mastDownload/HLA/HST_10182_e3_NIC_NIC3_F160W/HST_10182_e3_NIC_NIC3_F160W_drz.fits,2009-12-02T14:38:14,"NICMOS,3,F160W,DN",2.2405583e-19,-21.1,16041.6,23.189870963162793
2005M,pantheon_data_folder/2005M/mastDownload/HLA/HST_10182_e4_NIC_NIC3_F160W/HST_10182_e4_NIC_NIC3_F160W_drz.fits,2009-12-02T14:38:13,"NICMOS,3,F160W,DN",2.2405583e-19,-21.1,16041.6,23.189870963162793
2005M,pantheon_data_folder/2005M/mastDownload/HST/n90ze3030/n90ze3030_mos.fits,2009-09-26T10:17:49,"NICMOS,3,F160W,DN",2.2405583e-19,-21.1,16041.6,23.189870963162793
2005M,pantheon_data_folder/2005M/mastDownload/HST/n90ze4020/n90ze4020_mos.fits,2009-09-26T11:18:20,"NICMOS,3,F110W,DN",3.787247e-19,-21.1,11200.5,23.400003872471988
2005M,pantheon_data_folder/2005M/mastDownload/HST/n90ze1020/n90ze1020_mos.fits,2010-11-23T23:40:40,"NICMOS,3,F110W,DN",3.787247e-19,-21.1,11200.5,23.400003872471988
