SNID,Filename,Date,Photometric Calibration,Filter,Inverse Sensitivity,Zeropoint,Wavelength,Zeropoint AB
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/ibtm8g020/ibtm8g020_drz.fits,2025-04-03,WFC3 IR F160W MJD#56406.3275,F160W,1.94146955e-20,-21.1,15369.176,25.93842062162134
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboi5hn8q/iboi5hn8q_drz.fits,2025-04-22,WFC3 IR F125W MJD#56237.9844,F125W,2.2569164e-20,-21.1,12486.06,26.226084231360023
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboi6dg3q/iboi6dg3q_drz.fits,2025-04-22,WFC3 IR F125W MJD#56295.9169,F125W,2.2571809e-20,-21.1,12486.06,26.225956995632746
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboe1dppq/iboe1dppq_drz.fits,2025-04-07,WFC3 IR F125W MJD#56018.7172,F125W,2.2559075e-20,-21.1,12486.06,26.226569692038094
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboe1h020/iboe1h020_drz.fits,2025-04-07,WFC3 IR F160W MJD#56021.3700,F160W,1.940239e-20,-21.1,15369.176,25.939109005467934
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboi4jvpq/iboi4jvpq_drz.fits,2025-04-22,WFC3 IR F125W MJD#56183.2847,F125W,2.2566666e-20,-21.1,12486.06,26.226204409455452
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboe3kc6q/iboe3kc6q_drz.fits,2025-04-07,WFC3 IR F125W MJD#56128.3383,F125W,2.2564157e-20,-21.1,12486.06,26.226325130149622
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/icat25040/icat25040_drz.fits,2025-04-03,WFC3 IR F105W MJD#56916.0874,F105W,3.06706839999999e-20,-21.1,10551.047,26.258713558205052
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboi6dfsq/iboi6dfsq_drz.fits,2025-04-07,WFC3 IR F125W MJD#56295.8943,F125W,2.2571807e-20,-21.1,12486.06,26.225957091835607
Eagle,/astro/armin/bhoomika/pantheon_data_folder/Eagle/mastDownload/HST/iboe2o030/iboe2o030_drz.fits,2025-04-03,WFC3 IR F160W MJD#56072.4414,F160W,1.9404024e-20,-21.1,15369.176,25.939017572491956
