SNID,filename,Telescope,Instrument,Filter
1997bq,hst_16234_70_wfc3_ir_f160w_ieel70_drz.fits,HST,WFC3,F160W
1997bq,idgg31020_drz.fits,HST,WFC3,F160W
1997bq,idgg3b020_drz.fits,HST,WFC3,F160W
1997bq,idgg35020_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_3b_wfc3_ir_f160w_idgg3b_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_3b_wfc3_ir_total_idgg3b_drz.fits,HST,WFC3,detection
1997bq,hst_skycell-p2583x18y09_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
1997bq,hst_16234_70_wfc3_ir_total_ieel70_drz.fits,HST,WFC3,detection
1997bq,hst_skycell-p2583x18y09_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_31_wfc3_ir_total_idgg31_drz.fits,HST,WFC3,detection
1997bq,hst_15145_33_wfc3_ir_f160w_idgg33_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_33_wfc3_ir_total_idgg33_drz.fits,HST,WFC3,detection
1997bq,hst_15145_31_wfc3_ir_f160w_idgg31_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_35_wfc3_ir_total_idgg35_drz.fits,HST,WFC3,detection
1997bq,hst_16234_69_wfc3_ir_f160w_ieel69_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_37_wfc3_ir_f160w_idgg37_drz.fits,HST,WFC3,F160W
1997bq,idgg39020_drz.fits,HST,WFC3,F160W
1997bq,hst_16234_69_wfc3_ir_total_ieel69_drz.fits,HST,WFC3,detection
1997bq,hst_15145_37_wfc3_ir_total_idgg37_drz.fits,HST,WFC3,detection
1997bq,hst_15145_35_wfc3_ir_f160w_idgg35_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_39_wfc3_ir_f160w_idgg39_drz.fits,HST,WFC3,F160W
1997bq,idgg37020_drz.fits,HST,WFC3,F160W
1997bq,idgg33020_drz.fits,HST,WFC3,F160W
1997bq,hst_15145_39_wfc3_ir_total_idgg39_drz.fits,HST,WFC3,detection
2005W,idgg0b020_drz.fits,HST,WFC3,F160W
2005W,idgg01020_drz.fits,HST,WFC3,F160W
2005W,hst_15145_06_wfc3_ir_total_idgg06_drz.fits,HST,WFC3,detection
2005W,hst_15145_06_wfc3_ir_f160w_idgg06_drz.fits,HST,WFC3,F160W
2005W,hst_15145_0b_wfc3_ir_total_idgg0b_drz.fits,HST,WFC3,detection
2005W,hst_15145_0b_wfc3_ir_f160w_idgg0b_drz.fits,HST,WFC3,F160W
2005W,hst_skycell-p1770x03y10_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2005W,hst_15145_01_wfc3_ir_f160w_idgg01_drz.fits,HST,WFC3,F160W
2005W,hst_15145_03_wfc3_ir_total_idgg03_drz.fits,HST,WFC3,detection
2005W,idgg03020_drz.fits,HST,WFC3,F160W
2005W,hst_skycell-p1770x03y10_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2005W,idgg06020_drz.fits,HST,WFC3,F160W
2005W,hst_15145_03_wfc3_ir_f160w_idgg03_drz.fits,HST,WFC3,F160W
2005W,hst_15145_01_wfc3_ir_total_idgg01_drz.fits,HST,WFC3,detection
2006X,hst_16075_01_wfc3_ir_f110w_ie9801_drz.fits,HST,WFC3,F110W
2006X,hst_14178_cs_wfc3_ir_total_id1kcs_drz.fits,HST,WFC3,detection
2006X,hst_16500_62_wfc3_ir_f160w_iejn62_drz.fits,HST,WFC3,F160W
2006X,hst_14178_cr_wfc3_ir_f110w_id1kcr_drz.fits,HST,WFC3,F110W
2006X,hst_16500_62_wfc3_ir_total_iejn62_drz.fits,HST,WFC3,detection
2006X,hst_skycell-p1722x05y02_wfc3_ir_f110w_all_drz.fits,HST,WFC3,F110W
2006X,iejn62010_drz.fits,HST,WFC3,F160W
2006X,ie9801020_drz.fits,HST,WFC3,F160W
2006X,hst_14178_cr_wfc3_ir_total_id1kcr_drz.fits,HST,WFC3,detection
2006X,hst_skycell-p1722x05y02_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2006X,hst_16075_01_wfc3_ir_total_ie9801_drz.fits,HST,WFC3,detection
2006X,ie9801010_drz.fits,HST,WFC3,F110W
2006X,hst_14178_cs_wfc3_ir_f110w_id1kcs_drz.fits,HST,WFC3,F110W
2006X,hst_16075_01_wfc3_ir_f160w_ie9801_drz.fits,HST,WFC3,F160W
2006X,iejn02010_drz.fits,HST,WFC3,F160W
2006X,hst_14178_cr_wfc3_ir_f160w_id1kcr_drz.fits,HST,WFC3,F160W
2006X,hst_skycell-p1635x04y19_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2006X,idkv31030_drz.fits,HST,WFC3,F160W
2006X,hst_skycell-p1722x05y02_wfc3_ir_f110w_coarse-all_drz.fits,HST,WFC3,F110W
2006X,hst_skycell-p1722x05y02_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2006X,hst_14178_ct_wfc3_ir_total_id1kct_drz.fits,HST,WFC3,detection
2006X,hst_skycell-p1636x21y19_wfc3_ir_f110w_all_drz.fits,HST,WFC3,F110W
2006X,hst_skycell-p1636x21y19_wfc3_ir_f110w_coarse-all_drz.fits,HST,WFC3,F110W
2006X,hst_skycell-p1636x21y19_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2006X,hst_skycell-p1635x04y19_wfc3_ir_f110w_coarse-all_drz.fits,HST,WFC3,F110W
2006X,hst_skycell-p1635x04y19_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2006X,hst_16500_02_wfc3_ir_total_iejn02_drz.fits,HST,WFC3,detection
2006X,hst_15133_31_wfc3_ir_f160w_idkv31_drz.fits,HST,WFC3,F160W
2006X,hst_skycell-p1636x21y19_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2006X,hst_14178_cu_wfc3_ir_f160w_id1kcu_drz.fits,HST,WFC3,F160W
2006X,hst_15133_31_wfc3_ir_total_idkv31_drz.fits,HST,WFC3,detection
2006X,hst_14178_cu_wfc3_ir_total_id1kcu_drz.fits,HST,WFC3,detection
2006X,hst_16500_02_wfc3_ir_f160w_iejn02_drz.fits,HST,WFC3,F160W
2006X,hst_14178_ct_wfc3_ir_f110w_id1kct_drz.fits,HST,WFC3,F110W
2006X,hst_skycell-p1635x04y19_wfc3_ir_f110w_all_drz.fits,HST,WFC3,F110W
2005mz,hst_11207_06_acs_sbc_f140lp_drz.fits,HST,ACS,
2005mz,hst_11207_08_acs_sbc_f140lp_drz.fits,HST,ACS,
2005mz,hst_11207_07_acs_sbc_f140lp_drz.fits,HST,ACS,
2005mz,HST_7330_1r_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2005mz,hst_13050_11_wfc3_ir_f160w_ic0b11_drz.fits,HST,WFC3,F160W
2005mz,hst_13050_02_wfc3_ir_f160w_ic0b02_drz.fits,HST,WFC3,F160W
2005mz,icoe02010_drz.fits,HST,WFC3,F160W
2005mz,hst_13050_02_wfc3_ir_total_ic0b02_drz.fits,HST,WFC3,detection
2005mz,icoe02020_drz.fits,HST,WFC3,F160W
2005mz,hst_13050_11_wfc3_ir_total_ic0b11_drz.fits,HST,WFC3,detection
2005mz,icoe02080_drz.fits,HST,WFC3,F160W
2005mz,hst_11207_07_acs_sbc_f140lp_ja2707_drz.fits,HST,ACS,F140LP;N/A
2005mz,icoe02060_drz.fits,HST,WFC3,F160W
2005mz,hst_13050_01_wfc3_ir_total_ic0b01_drz.fits,HST,WFC3,detection
2005mz,hst_13662_02_wfc3_ir_total_icoe02_drz.fits,HST,WFC3,detection
2005mz,icoe02050_drz.fits,HST,WFC3,F160W
2005mz,n46001021_mos.fits,HST,NICMOS,F160W
2005mz,n46001020_mos.fits,HST,NICMOS,F160W
2005mz,hst_13662_02_wfc3_ir_f160w_icoe02_drz.fits,HST,WFC3,F160W
2005mz,hst_13050_01_wfc3_ir_f160w_ic0b01_drz.fits,HST,WFC3,F160W
2005mz,n3zb1r010_mos.fits,HST,NICMOS,F160W
2005mz,hst_skycell-p2166x04y09_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2005mz,hst_11207_06_acs_sbc_total_ja2706_drz.fits,HST,ACS,detection
2005mz,icoe02040_drz.fits,HST,WFC3,F160W
2005mz,ja2708010_drz.fits,HST,ACS,
2005mz,icoe02070_drz.fits,HST,WFC3,F160W
2005mz,hst_11207_06_acs_sbc_f140lp_ja2706_drz.fits,HST,ACS,F140LP;N/A
2005mz,icoe02030_drz.fits,HST,WFC3,F160W
2005mz,ja2707010_drz.fits,HST,ACS,
2005mz,hst_11207_08_acs_sbc_f140lp_ja2708_drz.fits,HST,ACS,F140LP;N/A
2005mz,hst_11207_07_acs_sbc_total_ja2707_drz.fits,HST,ACS,detection
2005mz,hst_skycell-p2166x04y09_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2005mz,hst_11207_08_acs_sbc_total_ja2708_drz.fits,HST,ACS,detection
2005mz,ja2706010_drz.fits,HST,ACS,
2006D,hst_15640_02_wfc3_ir_total_idxb02_drz.fits,HST,WFC3,detection
2006D,hst_15640_0b_wfc3_ir_total_idxb0b_drz.fits,HST,WFC3,detection
2006D,hst_skycell-p1102x15y12_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2006D,hst_15640_02_wfc3_ir_f160w_idxb02_drz.fits,HST,WFC3,F160W
2006D,hst_15640_0b_wfc3_ir_f160w_idxb0b_drz.fits,HST,WFC3,F160W
2006D,hst_15640_01_wfc3_ir_f160w_idxb01_drz.fits,HST,WFC3,F160W
2006D,hst_15640_03_wfc3_ir_total_idxb03_drz.fits,HST,WFC3,detection
2006D,hst_15640_0a_wfc3_ir_f160w_idxb0a_drz.fits,HST,WFC3,F160W
2006D,idxb05030_drz.fits,HST,WFC3,F160W
2006D,idxb08j3q_drz.fits,HST,WFC3,F160W
2006D,idxb0b030_drz.fits,HST,WFC3,F160W
2006D,idxb01030_drz.fits,HST,WFC3,F160W
2006D,hst_15640_03_wfc3_ir_f160w_idxb03_drz.fits,HST,WFC3,F160W
2006D,hst_15640_01_wfc3_ir_total_idxb01_drz.fits,HST,WFC3,detection
2006D,hst_15640_0a_wfc3_ir_total_idxb0a_drz.fits,HST,WFC3,detection
2006D,idxb06o5q_drz.fits,HST,WFC3,F160W
2006D,idxb0anmq_drz.fits,HST,WFC3,F160W
2006D,hst_15640_08_wfc3_ir_total_idxb08_drz.fits,HST,WFC3,detection
2006D,idxb02030_drz.fits,HST,WFC3,F160W
2006D,hst_15640_05_wfc3_ir_f160w_idxb05_drz.fits,HST,WFC3,F160W
2006D,hst_15640_07_wfc3_ir_total_idxb07_drz.fits,HST,WFC3,detection
2006D,idxb03030_drz.fits,HST,WFC3,F160W
2006D,hst_15640_08_wfc3_ir_f160w_idxb08_drz.fits,HST,WFC3,F160W
2006D,hst_15640_07_wfc3_ir_f160w_idxb07_drz.fits,HST,WFC3,F160W
2006D,hst_15640_05_wfc3_ir_total_idxb05_drz.fits,HST,WFC3,detection
2006D,idxb07030_drz.fits,HST,WFC3,F160W
2006D,hst_15640_09_wfc3_ir_total_idxb09_drz.fits,HST,WFC3,detection
2006D,hst_15640_06_wfc3_ir_total_idxb06_drz.fits,HST,WFC3,detection
2006D,hst_15640_04_wfc3_ir_f160w_idxb04_drz.fits,HST,WFC3,F160W
2006D,hst_15640_09_wfc3_ir_f160w_idxb09_drz.fits,HST,WFC3,F160W
2006D,idxb04glq_drz.fits,HST,WFC3,F160W
2006D,idxb09030_drz.fits,HST,WFC3,F160W
2006D,hst_15640_04_wfc3_ir_total_idxb04_drz.fits,HST,WFC3,detection
2006D,hst_15640_06_wfc3_ir_f160w_idxb06_drz.fits,HST,WFC3,F160W
2006D,hst_skycell-p1102x15y12_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2007au,hst_17436_89_wfc3_ir_total_if7q89_drz.fits,HST,WFC3,detection
2007au,if7q89010_drz.fits,HST,WFC3,F110W
2007au,hst_17436_89_wfc3_ir_f110w_if7q89_drz.fits,HST,WFC3,F110W
2007af,hst_11570_42_wfc3_ir_f160w_drz.fits,HST,WFC3,F160W
2007af,hst_11570_41_wfc3_ir_f160w_drz.fits,HST,WFC3,F160W
2007af,hst_mos_1013227_wfc3_ir_f160w_drz.fits,HST,WFC3,F160W
2007af,hst_skycell-p1376x13y01_wfc3_ir_f105w_all_drz.fits,HST,WFC3,F105W
2007af,hst_11570_41_wfc3_ir_f160w_ib1f41_drz.fits,HST,WFC3,F160W
2007af,hst_skycell-p1286x13y18_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2007af,hst_skycell-p1286x13y18_wfc3_ir_f105w_coarse-all_drz.fits,HST,WFC3,F105W
2007af,hst_15889_06_wfc3_ir_f140w_ie5406_drz.fits,HST,WFC3,F140W
2007af,hst_skycell-p1376x13y01_wfc3_ir_f125w_all_drz.fits,HST,WFC3,F125W
2007af,ib1f42010_drz.fits,HST,WFC3,F160W
2007af,ie5406060_drz.fits,HST,WFC3,F105W
2007af,ib1f41mrq_drz.fits,HST,WFC3,F160W
2007af,hst_15889_06_wfc3_ir_f105w_ie5406_drz.fits,HST,WFC3,F105W
2007af,hst_11570_41_wfc3_ir_total_ib1f41_drz.fits,HST,WFC3,detection
2007af,ie5406010_drz.fits,HST,WFC3,F160W
2007af,hst_skycell-p1286x13y18_wfc3_ir_f105w_all_drz.fits,HST,WFC3,F105W
2007af,hst_11570_42_wfc3_ir_total_ib1f42_drz.fits,HST,WFC3,detection
2007af,hst_skycell-p1376x13y01_wfc3_ir_f125w_coarse-all_drz.fits,HST,WFC3,F125W
2007af,ib1f42t6q_drz.fits,HST,WFC3,F160W
2007af,hst_skycell-p1376x13y01_wfc3_ir_f140w_coarse-all_drz.fits,HST,WFC3,F140W
2007af,hst_skycell-p1286x13y18_wfc3_ir_f125w_all_drz.fits,HST,WFC3,F125W
2007af,hst_11570_42_wfc3_ir_f160w_ib1f42_drz.fits,HST,WFC3,F160W
2007af,hst_skycell-p1376x13y01_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2007af,hst_15889_06_wfc3_ir_f125w_ie5406_drz.fits,HST,WFC3,F125W
2007af,hst_15889_06_wfc3_ir_total_ie5406_drz.fits,HST,WFC3,detection
2007af,hst_skycell-p1376x13y01_wfc3_ir_f140w_all_drz.fits,HST,WFC3,F140W
2007af,hst_15889_06_wfc3_ir_f160w_ie5406_drz.fits,HST,WFC3,F160W
2007af,hst_skycell-p1376x13y01_wfc3_ir_f105w_coarse-all_drz.fits,HST,WFC3,F105W
2007af,hst_skycell-p1376x13y01_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2007af,ib1f41010_drz.fits,HST,WFC3,F160W
2007af,ie5406040_drz.fits,HST,WFC3,F140W
2007af,hst_skycell-p1286x13y18_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2007af,hst_skycell-p1286x13y18_wfc3_ir_f140w_all_drz.fits,HST,WFC3,F140W
2007af,ie5406070_drz.fits,HST,WFC3,F125W
2007af,hst_skycell-p1286x13y18_wfc3_ir_f140w_coarse-all_drz.fits,HST,WFC3,F140W
2007af,hst_skycell-p1286x13y18_wfc3_ir_f125w_coarse-all_drz.fits,HST,WFC3,F125W
2005al,hst_17446_24_wfc3_ir_f110w_if7r24_drz.fits,HST,WFC3,F110W
2005al,hst_skycell-p0681x19y09_wfc3_ir_f110w_coarse-all_drz.fits,HST,WFC3,F110W
2005al,if7r24010_drz.fits,HST,WFC3,F110W
2005al,hst_skycell-p0681x19y08_wfc3_ir_f110w_coarse-all_drz.fits,HST,WFC3,F110W
2005al,hst_skycell-p0681x19y09_wfc3_ir_f110w_all_drz.fits,HST,WFC3,F110W
2005al,hst_17446_24_wfc3_ir_total_if7r24_drz.fits,HST,WFC3,detection
2005al,hst_skycell-p0681x19y08_wfc3_ir_f110w_all_drz.fits,HST,WFC3,F110W
2005M,HST_10182_e2_NIC_NIC3_F110W_drz.fits,HST,NICMOS,F110W
2005M,HST_10182_e5_NIC_NIC3_F110W_drz.fits,HST,NICMOS,F110W
2005M,HST_10182_e1_NIC_NIC3_F160W_drz.fits,HST,NICMOS,F160W
2005M,HST_10182_e4_NIC_NIC3_F110W_drz.fits,HST,NICMOS,F110W
2005M,HST_10182_e3_NIC_NIC3_F110W_drz.fits,HST,NICMOS,F110W
2005M,HST_10182_e5_NIC_NIC3_F160W_drz.fits,HST,NICMOS,F160W
2005M,HST_10182_e1_NIC_NIC3_F110W_drz.fits,HST,NICMOS,F110W
2005M,HST_10182_e2_NIC_NIC3_F160W_drz.fits,HST,NICMOS,F160W
2005M,HST_10182_e3_NIC_NIC3_F160W_drz.fits,HST,NICMOS,F160W
2005M,HST_10182_e4_NIC_NIC3_F160W_drz.fits,HST,NICMOS,F160W
2005M,n90ze3030_mos.fits,HST,NICMOS,F160W
2005M,n90ze4020_mos.fits,HST,NICMOS,F110W
2005M,n90ze1020_mos.fits,HST,NICMOS,F110W
2005M,n90ze2030_mos.fits,HST,NICMOS,F160W
2005M,n90ze5020_mos.fits,HST,NICMOS,F110W
2005M,n90ze2020_mos.fits,HST,NICMOS,F110W
2005M,n90ze5030_mos.fits,HST,NICMOS,F160W
2005M,n90ze1030_mos.fits,HST,NICMOS,F160W
2005M,n90ze3020_mos.fits,HST,NICMOS,F110W
2005M,n90ze4030_mos.fits,HST,NICMOS,F160W
2005ke,hst_skycell-p0726x07y16_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2005ke,hst_skycell-p0726x07y15_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2005ke,idkv07030_drz.fits,HST,WFC3,F160W
2005ke,hst_skycell-p0726x07y16_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2005ke,hst_15133_07_wfc3_ir_f160w_idkv07_drz.fits,HST,WFC3,F160W
2005ke,hst_skycell-p0726x07y15_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2005ke,hst_15133_07_wfc3_ir_total_idkv07_drz.fits,HST,WFC3,detection
2002fb,hst_17436_12_wfc3_ir_f110w_if7q12_drz.fits,HST,WFC3,F110W
2002fb,hst_17436_12_wfc3_ir_total_if7q12_drz.fits,HST,WFC3,detection
2002fb,if7q12010_drz.fits,HST,WFC3,F110W
2002fk,HST_11329_01_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2002fk,HST_11329_05_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2002fk,HST_11329_02_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2002fk,HST_11329_03_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2002fk,HST_11329_04_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2002fk,HST_10802_56_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2002fk,HST_10802_f4_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2002fk,HST_10802_f5_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2002fk,HST_10802_58_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2002fk,hst_11570_20_wfc3_ir_f160w_drz.fits,HST,WFC3,F160W
2002fk,HST_10802_57_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2002fk,HST_10802_55_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2002fk,HST_10802_f7_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2002fk,HST_10802_f6_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2002fk,hst_16234_70_wfc3_ir_f160w_ieel70_drz.fits,HST,WFC3,F160W
2002fk,na4m03010_mos.fits,HST,NICMOS,F160W
2002fk,idgg31020_drz.fits,HST,WFC3,F160W
2002fk,idgg3b020_drz.fits,HST,WFC3,F160W
2002fk,idgg35020_drz.fits,HST,WFC3,F160W
2002fk,hst_15145_3b_wfc3_ir_f160w_idgg3b_drz.fits,HST,WFC3,F160W
2002fk,n9r758010_mos.fits,HST,NICMOS,F160W
2002fk,hst_15145_3b_wfc3_ir_total_idgg3b_drz.fits,HST,WFC3,detection
2002fk,hst_skycell-p2583x18y09_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2002fk,hst_16234_70_wfc3_ir_total_ieel70_drz.fits,HST,WFC3,detection
2002fk,ib1f20030_drz.fits,HST,WFC3,F160W
2002fk,na4m02010_mos.fits,HST,NICMOS,F160W
2002fk,hst_skycell-p2583x18y09_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2002fk,hst_15889_02_wfc3_ir_total_ie5402_drz.fits,HST,WFC3,detection
2002fk,hst_skycell-p0978x05y05_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2002fk,n9r7f6010_mos.fits,HST,NICMOS,F160W
2002fk,n9r757010_mos.fits,HST,NICMOS,F160W
2002fk,ib1f20040_drz.fits,HST,WFC3,F160W
2002fk,hst_15145_31_wfc3_ir_total_idgg31_drz.fits,HST,WFC3,detection
2002fk,hst_15145_33_wfc3_ir_f160w_idgg33_drz.fits,HST,WFC3,F160W
2002fk,hst_15145_33_wfc3_ir_total_idgg33_drz.fits,HST,WFC3,detection
