SNID,File_key,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Mag,Mag_Error,Flux,Flux_Error,CXX,CXY,CYY,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2
2006bh,hst_15640_36_wfc3_ir_f160w_idxb36_drz,508,340.1010664,-66.4789157,7.56,44.193,28.389,-13.9842,0.0,392347.2,15.01581,0.00052463292,-0.00019007365,0.0012281763,2024-11-08,HST,WFC3,F160W,-3.5625000794728e-05,-1.1321205496154001e-21,-2.7033291170676003e-22,3.56250007947286e-05
2006bh,idxb35030_drz,509,340.083198,-66.480747,-86.8,73.938,28.361,-11.1099,0.0013,27794.83,33.58412,0.00123996,0.00011824648,0.00018622947,2025-04-11,HST,WFC3,F160W,2.24185153984219e-05,2.7686654708634e-05,2.7686654708634e-05,-2.2418515398421e-05
2006bh,idxb39030_drz,510,340.0670336,-66.4738658,60.71,21.279,16.256,-10.8617,0.0005,22115.56,9.942543,0.0034069612,-0.0013445967,0.0025857014,2025-04-11,HST,WFC3,F160W,2.91822941288793e-05,-2.0433658287247e-05,-2.0433658287247e-05,-2.9182294128879e-05
2006bh,hst_15640_38_wfc3_ir_f160w_idxb38_drz,511,340.1010306,-66.4789239,-11.08,82.507,39.425,-14.1097,0.0001,440445.7,24.11006,0.00016523051,0.00018724102,0.00062504236,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-2.5757216454627e-22,-5.4070836861117e-22,3.56250007947285e-05
2006bh,idxb37030_drz,512,340.1008298,-66.4789439,16.51,82.667,36.586,-14.0997,0.0001,436404.9,31.08613,0.00019484054,-0.00032735473,0.00069858111,2025-04-04,HST,WFC3,F160W,3.22867225179945e-05,1.50568333546744e-05,1.50568333546744e-05,-3.2286722517994e-05
2006bh,idxb3aayq_drz,513,340.0670281,-66.4738733,60.28,20.674,16.285,-10.853,0.0005,21938.64,10.98832,0.0034190274,-0.0012321726,0.0026913921,2025-03-31,HST,WFC3,F160W,2.91822941288636e-05,-2.0433658287269e-05,-2.0433658287269e-05,-2.9182294128863e-05
2006bh,hst_skycell-p0143x14y09_wfc3_ir_f160w_coarse-all_drz,514,340.0445348,-66.4863203,-64.77,10.037,4.191,-5.4642,0.0132,153.3538,1.868968,0.048392639,0.036257822,0.018470669,2024-11-19,HST,WFC3,F160W,-3.3333333333333e-05,0.0,0.0,3.33333333333333e-05
2006bh,hst_15640_32_wfc3_ir_f160w_idxb32_drz,515,340.1007779,-66.4789339,-9.67,86.454,36.017,-14.1072,0.0001,439433.3,21.73056,0.00015177144,0.00021100861,0.00075291219,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,6.58095919811193e-22,3.50574111171607e-22,3.56250007947286e-05
2006dd,hst_skycell-p0497x09y14_wfc3_ir_f110w_all_drz,516,50.6996246,-37.3333434,-17.84,0.763,0.451,0.021,0.0981,0.9808007,0.08857537,2.0173573,1.8721733,4.6244373,2024-11-19,HST,WFC3,F110W,-1.1111111111111e-05,0.0,0.0,1.11111111111111e-05
2006dd,n4b707010_mos,517,50.6738057,-37.2078755,58.16,39.233,22.011,-12.6318,0.0009,112904.7,97.37138,0.0016703545,-0.0012678338,0.0010434068,2009-06-16T22:46:05,HST,NICMOS,F110W,1.40066e-06,-2.08761e-05,-2.10652e-05,-1.38809e-06
2006dd,hst_skycell-p0497x09y14_wfc3_ir_f110w_coarse-all_drz,518,50.6988011,-37.3333213,-2.19,1.22,0.438,-4.5683,0.0066,67.19539,0.4073031,0.67885149,0.34755704,5.2146564,2024-11-19,HST,WFC3,F110W,-3.3333333333333e-05,0.0,0.0,3.33333333333333e-05
2006dd,n4b707070_mos,519,50.6738141,-37.2078714,51.66,40.956,21.774,-10.5606,0.001,16758.79,16.0078,0.0015269782,-0.0014724935,0.0011784985,2009-02-22T16:48:24,HST,NICMOS,F110M,6.27888e-07,-1.19353e-05,-1.19836e-05,-6.25359e-07
2006dd,ib3n03060_drz,520,50.6737663,-37.208012,35.45,70.256,35.733,-17.0457,0.0001,6580866.0,438.0425,0.00039786007,-0.00054859306,0.00058791024,2025-04-11,HST,WFC3,F110W,1.21868470786596e-05,3.34756843082524e-05,3.34756843082524e-05,-1.2186847078659e-05
2006dd,hst_skycell-p0497x09y14_wfc3_ir_f160w_all_drz,521,50.6972846,-37.3278216,-4.49,0.862,0.696,-0.7742,0.0144,2.040264,0.02697564,1.3487041,0.1126342,2.0607424,2024-11-19,HST,WFC3,F160W,-1.1111111111111e-05,0.0,0.0,1.11111111111111e-05
2006dd,hst_13691_37_wfc3_ir_f110w_icnw37_drz,522,50.6976207,-37.3332669,2.89,0.721,0.155,0.8282,0.4842,0.4663473,0.2079171,2.0251548,-4.024744,41.758476,2024-11-09,HST,WFC3,F110W,-3.5625000794728e-05,1.0749822540498e-22,-5.3455496637474e-23,3.56250007947285e-05
2006dd,hst_11691_03_wfc3_ir_f110w_drz,523,50.6857506,-37.2264292,-72.91,33.173,10.573,-8.7705,0.0114,3222.433,33.85078,0.0082516111,0.0045156828,0.0016029817,2017-08-12,HST,WFC3,F110W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05
2006dd,ib3n03050_drz,524,50.6737567,-37.208002,33.69,68.614,39.701,-16.5288,0.0001,4087936.0,270.1121,0.00034227624,-0.0003895766,0.00050456985,2025-04-07,HST,WFC3,F160W,1.21854611956755e-05,3.34761888074657e-05,3.34761888074657e-05,-1.2185461195675e-05
2006dd,n4b707030_mos,525,50.6738529,-37.2078473,57.93,41.0,22.99,-13.02,0.0009,161433.9,129.6303,0.0015263064,-0.0011671542,0.00096052286,2009-06-16T22:46:44,HST,NICMOS,F160W,1.4007e-06,-2.08761e-05,-2.10651e-05,-1.38813e-06
2006dd,hst_13691_32_wfc3_ir_f160w_icnw32_drz,526,50.6984225,-37.3279069,51.91,1.713,1.135,-6.4658,0.0013,385.7519,0.4504847,0.6103875,-0.42282829,0.50640136,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,-1.3156585765565e-22,-4.1428506215417e-22,3.56250007947285e-05
2006dd,hst_11691_03_wfc3_ir_f160w_drz,527,50.677547,-37.2331918,-0.48,26.511,7.076,-8.0015,0.0089,1587.109,13.03646,0.001424111,0.00030920064,0.019968657,2017-08-12,HST,WFC3,F160W,-2.4999999999999e-05,0.0,0.0,2.49999999999999e-05
2006dd,hst_13691_36_wfc3_ir_f160w_icnw36_drz,528,50.6977621,-37.3273233,-29.7,0.877,0.653,-4.4008,0.0143,57.58859,0.7561813,1.5558206,0.90136981,2.0889692,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,3.94376500712635e-22,9.15176918031901e-23,3.56250007947285e-05
