RA,Dec,SNID,has_f1
34.443066,-5.256643,SN2016aqt,True
189.18375,62.21242,SN2016ayg,True
214.982501,53.097401,SN2016grz,True
214.666364,52.612079,SN2016hhv,True
36.969417,-4.180252,Eagle,True
36.983995,-4.176071,Mcguire,True
150.483707,1.879478,Patuxent,True
149.867166,2.321014,Qiqirn,True
149.834888,2.508879,Rakke,True
150.304914,2.41505,Ramone,True
150.155592,1.711927,Sasquatch,True
149.941201,2.141025,SCP05D0,True
214.55181,52.658332,SCP06C0,True
214.451686,52.470678,SCP06G4,True
214.609102,52.528468,SCP06R12,True
333.98792,-17.695501,stone,True
333.9818,-17.657478,03D1fq,True
150.461859,2.106329,04D1jd,True
149.746812,2.489504,04D1jg,True
150.284664,2.130321,04D1kj,True
150.417683,2.566161,04D1ks,True
149.627324,2.536402,04D1oh,True
150.008506,2.215852,04D1ow,True
150.188339,2.572851,04D1pc,True
149.633623,2.032241,04D1pd,True
150.060683,2.407438,04D1pg,True
149.859101,2.013626,04D1pp,True
149.785425,2.602,04D1pu,True
150.019137,1.886025,04D1qd,True
150.47865,2.092912,04D1rh,True
149.631042,2.491221,04D1rx,True
214.869783,52.864848,04D3gx,True
214.749304,52.66756,04D3nh,True
149.789823,2.302517,05D1cl,True
149.86203,2.451355,05D1dn,True
150.434247,2.713314,05D1dx,True
150.197581,1.985406,05D1ee,True
214.699174,52.756559,05D1hm,True
334.23772,-17.450634,05D2ci,True
150.539146,1.899169,05D3dh,True
150.536754,2.718564,05D3gv,True
150.501875,2.060506,05D3kt,True
132.24955,44.865683,06D4cl,True
34.418313,-4.837083,100405,True
215.233179,53.008881,180313,True
52.989254,-28.883558,310260,True
37.101854,-4.424606,330083,True
353.356008,0.310492,330143,True
36.287354,-3.353392,340169,True
128.835504,43.855458,340211,True
131.337521,44.754794,340316,True
52.070567,-28.623328,350047,True
130.72295,45.901364,350078,True
150.155563,2.756503,350192,True
149.800438,3.221569,350235,True
149.957196,0.816617,350374,True
148.865171,1.575294,350548,True
131.638525,45.356153,360112,True
215.547717,52.631847,360139,True
186.388829,48.136864,370333,True
244.451371,54.633383,380318,True
184.160967,47.816047,390264,True
215.524029,52.544642,390314,True
334.634275,1.114892,420196,True
351.799888,-0.782928,440039,True
35.850625,-3.083947,440050,True
353.295804,-0.336408,440185,True
36.801858,-4.578114,440264,True
9.472534,-43.314522,530175,True
10.178906,-43.948338,530249,True
34.546364,-5.010114,1253039,True
53.294464,-27.957768,1283373,True
35.442699,-5.639848,1297501,True
34.489563,-4.862434,1303496,True
35.128132,-6.446471,1306299,True
10.321224,-43.886227,1306980,True
35.135029,-4.652505,1309288,True
34.429966,-4.976041,1315296,True
