index,filename,On_Image,SNID,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,B_P,Good_Bad,ultra_extended
5493,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_03_wfc3_ir_f160w/hst_12498_03_wfc3_ir_f160w_drz.fits,True,Primo,hst_12498_03_wfc3_ir_f160w_drz,2017-09-10,HST,WFC3,F160W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5494,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12099_p7_wfc3_ir_f125w/hst_12099_p7_wfc3_ir_f125w_drz.fits,True,Primo,hst_12099_p7_wfc3_ir_f125w_drz,2017-08-12,HST,WFC3,F125W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5495,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_47_wfc3_ir_f105w/hst_12498_47_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_47_wfc3_ir_f105w_drz,2017-10-19,HST,WFC3,F105W,-2.5e-05,-1.8800000000000002e-37,-1.8800000000000002e-37,2.5e-05,,i/na,
5496,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_43_wfc3_ir_f105w/hst_12498_43_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_43_wfc3_ir_f105w_drz,2017-10-19,HST,WFC3,F105W,-2.5e-05,-1.8800000000000002e-37,-1.8800000000000002e-37,2.5e-05,,i/na,
5497,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_20_wfc3_ir_f105w/hst_12498_20_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_20_wfc3_ir_f105w_drz,2017-08-22,HST,WFC3,F105W,-2.5e-05,-1.8800000000000002e-37,-1.8800000000000002e-37,2.5e-05,,i/na,
5498,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_11563_3c_wfc3_ir_f160w/hst_11563_3c_wfc3_ir_f160w_drz.fits,True,Primo,hst_11563_3c_wfc3_ir_f160w_drz,2017-08-23,HST,WFC3,F160W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5500,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_55_wfc3_ir_f140w/hst_12498_55_wfc3_ir_f140w_drz.fits,True,Primo,hst_12498_55_wfc3_ir_f140w_drz,2017-08-15,HST,WFC3,F140W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5501,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_08_wfc3_ir_f160w/hst_12498_08_wfc3_ir_f160w_drz.fits,True,Primo,hst_12498_08_wfc3_ir_f160w_drz,2017-08-15,HST,WFC3,F160W,-2.5e-05,-1.8800000000000002e-37,-1.8800000000000002e-37,2.5e-05,,i/na,
5502,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_64_wfc3_ir_f140w/hst_12498_64_wfc3_ir_f140w_drz.fits,True,Primo,hst_12498_64_wfc3_ir_f140w_drz,2017-08-18,HST,WFC3,F140W,-2.5e-05,0.0,0.0,2.5e-05,,i/na,
5503,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HLA/hst_12498_19_wfc3_ir_f105w/hst_12498_19_wfc3_ir_f105w_drz.fits,True,Primo,hst_12498_19_wfc3_ir_f105w_drz,2017-08-26,HST,WFC3,F105W,-2.5e-05,-1.8800000000000002e-37,-1.8800000000000002e-37,2.5e-05,,i/na,
