SNID,File_key,Galaxy_key,Galaxy_RA,Galaxy_Dec,Zeropoint,Instrumental_Mag,Apparent_Magnitude,Absolute_Magnitude,Flag_mag,Flag_instrum
2005mz,hst_13050_02_wfc3_ir_f160w_ic0b02_drz,68,49.8048803,41.3230885,22.22930825092475,-5.1441,17.08520825092475,-17.309850718789967,False,False
2005mz,icoe02080_drz,69,49.9506515,41.5117113,22.22930825092475,-13.8295,8.39980825092475,-25.99525071878997,False,False
2005mz,icoe02040_drz,70,49.9506666,41.5116936,22.22930825092475,-14.3096,7.919708250924749,-26.47535071878997,False,False
2005mz,icoe02030_drz,71,49.9705741,41.4827082,22.22930825092475,-7.5578,14.671508250924749,-19.72355071878997,False,False
2005mz,hst_11207_06_acs_sbc_f140lp_drz,72,49.9430762,41.4978673,22.22930825092475,6.9779,29.20720825092475,-5.187850718789967,True,False
2005mz,hst_11207_08_acs_sbc_f140lp_ja2708_drz,73,49.9700571,41.4971859,22.22930825092475,5.5044,27.73370825092475,-6.6613507187899685,True,False
2005mz,HST_7330_1r_NIC_NIC2_F160W_drz,74,49.9505268,41.5118263,22.22930825092475,-11.7658,10.463508250924749,-23.93155071878997,False,False
2005mz,hst_11207_08_acs_sbc_f140lp_drz,75,49.9703814,41.4973296,22.22930825092475,4.6687,26.89800825092475,-7.497050718789968,True,False
2005mz,icoe02020_drz,76,49.9352839,41.5160963,22.22930825092475,-12.4459,9.783408250924749,-24.611650718789967,False,False
2005mz,hst_13050_11_wfc3_ir_f160w_ic0b11_drz,77,50.0311226,41.605312,22.22930825092475,-8.8541,13.375208250924748,-21.019850718789968,False,False
2005mz,hst_11207_06_acs_sbc_f140lp_ja2706_drz,78,49.9431401,41.4974433,22.22930825092475,6.257,28.48630825092475,-5.9087507187899675,True,False
2005mz,n3zb1r010_mos,79,49.9505594,41.5118023,22.22930825092475,-10.359,11.870308250924749,-22.524750718789967,False,False
2005mz,ja2707010_drz,80,49.9651894,41.5093661,22.22930825092475,6.2576,28.48690825092475,-5.908150718789969,True,False
2006D,hst_15640_01_wfc3_ir_f160w_idxb01_drz,81,193.144598,-9.7766155,25.933782550932182,-13.2952,12.638582550932183,-20.18872268045093,False,False
2006D,hst_15640_05_wfc3_ir_f160w_idxb05_drz,82,193.1445959,-9.7766132,25.933782550932182,-13.3,12.633782550932182,-20.193522680450933,False,False
2006D,hst_15640_0a_wfc3_ir_f160w_idxb0a_drz,83,193.1445933,-9.7765618,25.933782550932182,-13.2678,12.665982550932183,-20.16132268045093,False,False
2006D,idxb0anmq_drz,84,193.1445527,-9.7765644,25.933782550932182,-13.266,12.667782550932182,-20.159522680450934,False,False
2006D,idxb04glq_drz,85,193.1446001,-9.7765917,25.933782550932182,-13.266,12.667782550932182,-20.159522680450934,False,False
2006D,hst_15640_04_wfc3_ir_f160w_idxb04_drz,86,193.1446017,-9.7765804,25.933782550932182,-13.2733,12.660482550932182,-20.166822680450935,False,False
2006D,idxb02030_drz,87,193.1445454,-9.7765449,25.933782550932182,-13.2703,12.663482550932182,-20.163822680450934,False,False
2006D,idxb0b030_drz,88,193.1445519,-9.7765514,25.933782550932182,-13.2655,12.668282550932183,-20.15902268045093,False,False
2006D,idxb06o5q_drz,89,193.1445444,-9.7765573,25.933782550932182,-13.2644,12.669382550932182,-20.15792268045093,False,False
2006D,idxb08j3q_drz,90,193.1445447,-9.7765315,25.933782550932182,-13.2743,12.659482550932182,-20.167822680450932,False,False
2006D,hst_skycell-p1102x15y12_wfc3_ir_f160w_coarse-all_drz,91,193.1446085,-9.7765914,25.933782550932182,-13.2744,12.659382550932182,-20.167922680450932,False,False
2006D,hst_15640_06_wfc3_ir_f160w_idxb06_drz,92,193.1446048,-9.7765751,25.933782550932182,-13.2823,12.651482550932183,-20.17582268045093,False,False
2006D,idxb09030_drz,93,193.1445468,-9.7765482,25.933782550932182,-13.2683,12.665482550932182,-20.161822680450932,False,False
2006D,idxb05030_drz,94,193.144546,-9.7765443,25.933782550932182,-13.2735,12.660282550932182,-20.167022680450934,False,False
2006D,hst_15640_0b_wfc3_ir_f160w_idxb0b_drz,95,193.144577,-9.7765754,25.933782550932182,-13.2804,12.653382550932182,-20.173922680450932,False,False
2006D,hst_15640_08_wfc3_ir_f160w_idxb08_drz,96,193.1445922,-9.776564,25.933782550932182,-13.2803,12.653482550932182,-20.173822680450932,False,False
2006D,idxb07030_drz,97,193.144543,-9.7765466,25.933782550932182,-13.2712,12.662582550932182,-20.164722680450932,False,False
