,index,SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,B_P,Good_Bad,On_Image
2553,5268,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12498_14_wfc3_ir_f105w_ibp314/hst_12498_14_wfc3_ir_f105w_ibp314_drz.fits,hst_12498_14_wfc3_ir_f105w_ibp314_drz,2024-11-09,HST,WFC3,F105W,-3.56e-05,1.4700000000000001e-21,-6.34e-22,3.56e-05,,,True
2554,5269,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12498_60_wfc3_ir_f140w_ibp360/hst_12498_60_wfc3_ir_f140w_ibp360_drz.fits,hst_12498_60_wfc3_ir_f140w_ibp360_drz,2024-11-09,HST,WFC3,F140W,-3.56e-05,9.02e-23,1.05e-21,3.56e-05,,,True
2555,5270,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_11563_2g_wfc3_ir_f160w_ib5x2g/hst_11563_2g_wfc3_ir_f160w_ib5x2g_drz.fits,hst_11563_2g_wfc3_ir_f160w_ib5x2g_drz,2024-11-09,HST,WFC3,F160W,-3.56e-05,-8.359999999999999e-23,-1.3400000000000002e-21,3.56e-05,,,True
2556,5274,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12498_50_wfc3_ir_f140w_ibp350/hst_12498_50_wfc3_ir_f140w_ibp350_drz.fits,hst_12498_50_wfc3_ir_f140w_ibp350_drz,2024-11-09,HST,WFC3,F140W,-3.56e-05,7.74e-23,-8.5e-22,3.56e-05,,,True
2557,5275,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_11563_23_wfc3_ir_f160w_ib5x23/hst_11563_23_wfc3_ir_f160w_ib5x23_drz.fits,hst_11563_23_wfc3_ir_f160w_ib5x23_drz,2024-11-09,HST,WFC3,F160W,-3.56e-05,3.61e-22,1.2800000000000001e-21,3.56e-05,,,True
2558,5276,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12498_51_wfc3_ir_f140w_ibp351/hst_12498_51_wfc3_ir_f140w_ibp351_drz.fits,hst_12498_51_wfc3_ir_f140w_ibp351_drz,2024-11-09,HST,WFC3,F140W,-3.56e-05,-2.2e-21,-1.78e-21,3.56e-05,,,True
2559,5277,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_17073_05_wfc3_ir_f140w_iey605/hst_17073_05_wfc3_ir_f140w_iey605_drz.fits,hst_17073_05_wfc3_ir_f140w_iey605_drz,2024-11-09,HST,WFC3,F140W,-3.56e-05,1.3e-21,-1.2500000000000001e-22,3.56e-05,,,True
2560,5278,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12099_p2_wfc3_ir_f125w_ibfup2/hst_12099_p2_wfc3_ir_f125w_ibfup2_drz.fits,hst_12099_p2_wfc3_ir_f125w_ibfup2_drz,2024-11-09,HST,WFC3,F125W,-3.56e-05,3.52e-22,2.88e-22,3.56e-05,,,True
2561,5279,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12498_64_wfc3_ir_f140w_ibp364/hst_12498_64_wfc3_ir_f140w_ibp364_drz.fits,hst_12498_64_wfc3_ir_f140w_ibp364_drz,2024-11-08,HST,WFC3,F140W,-3.56e-05,-1.16e-21,8.07e-22,3.56e-05,,,True
2562,5280,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_12498_15_wfc3_ir_f105w_ibp315/hst_12498_15_wfc3_ir_f105w_ibp315_drz.fits,hst_12498_15_wfc3_ir_f105w_ibp315_drz,2024-11-09,HST,WFC3,F105W,-3.56e-05,2.14e-22,9.21e-22,3.56e-05,,,True
2563,5282,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_11563_4e_wfc3_ir_f160w_ib5x4e/hst_11563_4e_wfc3_ir_f160w_ib5x4e_drz.fits,hst_11563_4e_wfc3_ir_f160w_ib5x4e_drz,2024-11-09,HST,WFC3,F160W,-3.56e-05,1.5100000000000002e-21,-7.05e-23,3.56e-05,,,True
2564,5283,Primo,/astro/armin/bhoomika/pantheon_data_folder/Primo/mastDownload/HST/hst_11563_16_wfc3_ir_f125w_ib5x16/hst_11563_16_wfc3_ir_f125w_ib5x16_drz.fits,hst_11563_16_wfc3_ir_f125w_ib5x16_drz,2024-11-09,HST,WFC3,F125W,-3.56e-05,-2.2500000000000002e-21,-2.4300000000000003e-21,3.56e-05,,,True
