SNID,File_key,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,CXX,CXY,CYY
2016coj,if7r17010_drz,13196,182.0245864,65.1744246,73.34,83.606,35.026,3.5,-16.279,0.0001,3247890.0,151.31,0.00075987889,-0.00036914105,0.0001982908
2016coj,hst_skycell-p2519x16y08_wfc3_ir_f110w_all_drz,13197,182.0552282,65.1511605,30.27,1.118,0.919,3.5,-3.6136,0.0045,27.88943,0.1162815,0.89736617,-0.33526209,1.0867991
SCP05D0,hst_10496_o8_acs_wfc_f775w_j9epo8_drc,13198,35.4067351,-3.3962559,-22.16,1.234,0.988,3.5,-2.2253,0.0101,7.764585,0.07208785,0.7091769,0.25666592,0.97192258
SCP05D0,j9epo6b6q_drz,13199,35.4606248,-3.3885104,4.33,0.935,0.582,4.46,-2.0952,0.012,6.887622,0.07595854,1.153079,-0.27276102,2.944782
SCP05D0,hst_10496_o7_acs_wfc_f775w_j9epo7_drc,13200,35.4339523,-3.406414,-46.68,2.821,0.931,3.5,-3.7562,0.0044,31.8046,0.1284179,0.67004442,1.0267386,0.6098212
SCP05D0,hst_skycell-p1241x13y05_acs_wfc_f775w_all_drc,13201,35.4339554,-3.4064103,-46.56,3.691,1.017,3.5,-3.8091,0.0037,33.39159,0.1139818,0.54446012,0.89229882,0.49597558
SCP05D0,hst_skycell-p1241x14y05_acs_wfc_f775w_all_drc,13202,35.2711038,-3.5479435,1.85,0.977,0.487,5.3,0.9198,0.1232,0.4286168,0.04862585,1.0506529,-0.20550662,4.2200484
SCP05D0,j9epo5gdq_drc,13203,35.4679328,-3.3549045,2.59,0.87,0.711,3.5,-3.3561,0.0031,22.0012,0.0625163,1.3229332,-0.059184562,1.9763545
SCP05D0,hst_10496_o6_acs_wfc_f775w_j9epo6_drc,13204,35.4071825,-3.4015335,-0.98,0.839,0.401,5.53,-0.6891,0.042,1.88651,0.07293013,1.4226904,0.16303542,6.2021623
SCP05D0,hst_10496_o4_acs_wfc_f775w_j9epo4_drc,13205,35.4531102,-3.3913126,0.0,1.431,0.289,8.24,-0.0131,0.1323,1.012136,0.1232986,0.48828232,-0.0,12.000005
SCP05D0,HST_10496_d1_NIC_NIC2_F110W_drz,13206,35.4293276,-3.3671156,89.41,18.045,7.555,3.5,2.7083,0.0011,0.08254672,8.307621e-05,0.017519921,-0.0002990636,0.0030727368
SCP05D0,j9epo7jgq_drc,13207,35.433385,-3.4063612,-5.85,0.942,0.458,6.52,0.4874,0.1657,0.6383067,0.09736323,1.163586,0.73887068,4.7340736
SCP05D0,j9epo5gdq_drz,13208,35.4679328,-3.3549045,2.3,0.874,0.711,3.5,-3.3561,0.003,22.00028,0.06106461,1.3096557,-0.053901855,1.9781483
SCP05D0,j9epo6b6q_drc,13209,35.4606248,-3.3885104,4.33,0.935,0.582,4.46,-2.0952,0.0122,6.88798,0.07761709,1.1530712,-0.27277121,2.9449258
