SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2
2014dt,/astro/armin/bhoomika/pantheon_data_folder/2014dt/mastDownload/JWST/jw02107-o031_t013_nircam_clear-f335m/jw02107-o031_t013_nircam_clear-f335m_i2d.fits,jw02107-o031_t013_nircam_clear-f335m_i2d,2025-05-29T13:15:05.019,JWST,NIRCAM,F335M,,,,
2014dt,/astro/armin/bhoomika/pantheon_data_folder/2014dt/mastDownload/JWST/jw02107-c1013_t013_miri_f770w/jw02107-c1013_t013_miri_f770w_i2d.fits,jw02107-c1013_t013_miri_f770w_i2d,2025-03-25T19:51:00.782,JWST,MIRI,F770W,,,,
2014dt,/astro/armin/bhoomika/pantheon_data_folder/2014dt/mastDownload/JWST/jw02107-o013_t013_miri_f1000w/jw02107-o013_t013_miri_f1000w_i2d.fits,jw02107-o013_t013_miri_f1000w_i2d,2025-05-29T13:26:59.460,JWST,MIRI,F1000W,,,,
2014dt,/astro/armin/bhoomika/pantheon_data_folder/2014dt/mastDownload/JWST/jw02107-c1013_t013_miri_f2100w/jw02107-c1013_t013_miri_f2100w_i2d.fits,jw02107-c1013_t013_miri_f2100w_i2d,2025-03-25T19:50:52.761,JWST,MIRI,F2100W,,,,
2014dt,/astro/armin/bhoomika/pantheon_data_folder/2014dt/mastDownload/JWST/jw02107-o031_t013_nircam_clear-f360m/jw02107-o031_t013_nircam_clear-f360m_i2d.fits,jw02107-o031_t013_nircam_clear-f360m_i2d,2025-05-29T13:17:11.936,JWST,NIRCAM,F360M,,,,
2014dt,/astro/armin/bhoomika/pantheon_data_folder/2014dt/mastDownload/JWST/jw02107-o013_t013_miri_f1130w/jw02107-o013_t013_miri_f1130w_i2d.fits,jw02107-o013_t013_miri_f1130w_i2d,2025-05-29T20:49:31.957,JWST,MIRI,F1130W,,,,
2014dt,/astro/armin/bhoomika/pantheon_data_folder/2014dt/mastDownload/JWST/jw02107-o013_t013_miri_f2100w/jw02107-o013_t013_miri_f2100w_i2d.fits,jw02107-o013_t013_miri_f2100w_i2d,2025-05-31T23:07:38.241,JWST,MIRI,F2100W,,,,
2014dt,/astro/armin/bhoomika/pantheon_data_folder/2014dt/mastDownload/JWST/jw02107-o013_t013_miri_f770w/jw02107-o013_t013_miri_f770w_i2d.fits,jw02107-o013_t013_miri_f770w_i2d,2025-05-29T13:26:51.710,JWST,MIRI,F770W,,,,
2014dt,/astro/armin/bhoomika/pantheon_data_folder/2014dt/mastDownload/JWST/jw02107-c1013_t013_miri_f1130w/jw02107-c1013_t013_miri_f1130w_i2d.fits,jw02107-c1013_t013_miri_f1130w_i2d,2025-03-25T19:50:52.032,JWST,MIRI,F1130W,,,,
1991bg,/astro/armin/bhoomika/pantheon_data_folder/1991bg/mastDownload/JWST/jw03055-o004_t004_nircam_clear-f150w/jw03055-o004_t004_nircam_clear-f150w_i2d.fits,jw03055-o004_t004_nircam_clear-f150w_i2d,2025-06-06T07:26:40.606,JWST,NIRCAM,F150W,,,,
1991bg,/astro/armin/bhoomika/pantheon_data_folder/1991bg/mastDownload/JWST/jw03055-o004_t004_nircam_clear-f277w/jw03055-o004_t004_nircam_clear-f277w_i2d.fits,jw03055-o004_t004_nircam_clear-f277w_i2d,2025-06-06T07:14:29.051,JWST,NIRCAM,F277W,,,,
1991bg,/astro/armin/bhoomika/pantheon_data_folder/1991bg/mastDownload/JWST/jw03055-o004_t004_nircam_clear-f090w/jw03055-o004_t004_nircam_clear-f090w_i2d.fits,jw03055-o004_t004_nircam_clear-f090w_i2d,2025-06-06T07:24:40.611,JWST,NIRCAM,F090W,,,,
