SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,B_P,Good_Bad
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12445_9f_wfc3_ir_f160w_ibtm9f/hst_12445_9f_wfc3_ir_f160w_ibtm9f_drz.fits,hst_12445_9f_wfc3_ir_f160w_ibtm9f_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-4.41E-23,-2.19E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12444_4c_wfc3_ir_f125w_iboi4c/hst_12444_4c_wfc3_ir_f125w_iboi4c_drz.fits,hst_12444_4c_wfc3_ir_f125w_iboi4c_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,7.13E-22,-3.40E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12443_aj_wfc3_ir_f160w_iboeaj/hst_12443_aj_wfc3_ir_f160w_iboeaj_drz.fits,hst_12443_aj_wfc3_ir_f160w_iboeaj_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-1.91E-21,-2.10E-21,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12445_8m_wfc3_ir_f160w_ibtm8m/hst_12445_8m_wfc3_ir_f160w_ibtm8m_drz.fits,hst_12445_8m_wfc3_ir_f160w_ibtm8m_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,1.70E-21,2.62E-21,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_13871_01_wfc3_ir_f140w_icka01/hst_13871_01_wfc3_ir_f140w_icka01_drz.fits,hst_13871_01_wfc3_ir_f140w_icka01_drz,2024-11-09,HST,WFC3,F140W,-3.56E-05,1.52E-21,3.75E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12444_5j_wfc3_ir_f125w_iboi5j/hst_12444_5j_wfc3_ir_f125w_iboi5j_drz.fits,hst_12444_5j_wfc3_ir_f125w_iboi5j_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,2.38E-22,-1.43E-23,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_9301_01_acs_hrc_f625w_j8eb01/hst_9301_01_acs_hrc_f625w_j8eb01_drz.fits,hst_9301_01_acs_hrc_f625w_j8eb01_drz,2024-11-01,HST,ACS,F625W,-6.94E-06,-2.76E-22,-4.99E-22,6.94E-06,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12445_9e_wfc3_ir_f160w_ibtm9e/hst_12445_9e_wfc3_ir_f160w_ibtm9e_drz.fits,hst_12445_9e_wfc3_ir_f160w_ibtm9e_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,5.04E-22,-5.68E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_10339_dd_acs_wfc_f775w_j91wdd/hst_10339_dd_acs_wfc_f775w_j91wdd_drc.fits,hst_10339_dd_acs_wfc_f775w_j91wdd_drc,2024-11-05,HST,ACS,F775W,-1.39E-05,8.65E-22,5.35E-22,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12445_ac_wfc3_ir_f160w_ibtmac/hst_12445_ac_wfc3_ir_f160w_ibtmac_drz.fits,hst_12445_ac_wfc3_ir_f160w_ibtmac_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,-1.72E-21,-1.48E-21,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_11600_41_acs_wfc_f775w_jb3741/hst_11600_41_acs_wfc_f775w_jb3741_drc.fits,hst_11600_41_acs_wfc_f775w_jb3741_drc,2024-11-04,HST,ACS,F775W,-1.39E-05,-2.52E-22,-4.10E-22,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_11600_04_wfc3_ir_f140w_ib3704/hst_11600_04_wfc3_ir_f140w_ib3704_drz.fits,hst_11600_04_wfc3_ir_f140w_ib3704_drz,2024-11-09,HST,WFC3,F140W,-3.56E-05,1.21E-22,-7.04E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_13063_ff_wfc3_ir_f160w_ic6hff/hst_13063_ff_wfc3_ir_f160w_ic6hff_drz.fits,hst_13063_ff_wfc3_ir_f160w_ic6hff_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,3.45E-22,-1.10E-21,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12444_6l_wfc3_ir_f160w_iboi6l/hst_12444_6l_wfc3_ir_f160w_iboi6l_drz.fits,hst_12444_6l_wfc3_ir_f160w_iboi6l_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,1.44E-21,-8.35E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12443_1i_wfc3_ir_f160w_iboe1i/hst_12443_1i_wfc3_ir_f160w_iboe1i_drz.fits,hst_12443_1i_wfc3_ir_f160w_iboe1i_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,1.90E-22,1.37E-21,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12444_4g_wfc3_ir_f160w_iboi4g/hst_12444_4g_wfc3_ir_f160w_iboi4g_drz.fits,hst_12444_4g_wfc3_ir_f160w_iboi4g_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,1.36E-21,8.75E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12443_3a_wfc3_ir_f125w_iboe3a/hst_12443_3a_wfc3_ir_f125w_iboe3a_drz.fits,hst_12443_3a_wfc3_ir_f125w_iboe3a_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,3.28E-22,-4.17E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_9727_28_acs_wfc_f775w_j8wq28/hst_9727_28_acs_wfc_f775w_j8wq28_drc.fits,hst_9727_28_acs_wfc_f775w_j8wq28_drc,2024-11-05,HST,ACS,F775W,-1.39E-05,-1.13E-26,4.20E-27,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_15977_03_wfc3_ir_f160w_ie0z03/hst_15977_03_wfc3_ir_f160w_ie0z03_drz.fits,hst_15977_03_wfc3_ir_f160w_ie0z03_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,2.50E-21,1.98E-21,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12444_4g_wfc3_ir_f125w_iboi4g/hst_12444_4g_wfc3_ir_f125w_iboi4g_drz.fits,hst_12444_4g_wfc3_ir_f125w_iboi4g_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,1.12E-22,-5.68E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_10339_bd_acs_wfc_f775w_j91wbd/hst_10339_bd_acs_wfc_f775w_j91wbd_drc.fits,hst_10339_bd_acs_wfc_f775w_j91wbd_drc,2024-11-04,HST,ACS,F775W,-1.39E-05,-2.35E-22,3.59E-22,1.39E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_15977_04_wfc3_ir_f160w_ie0z04/hst_15977_04_wfc3_ir_f160w_ie0z04_drz.fits,hst_15977_04_wfc3_ir_f160w_ie0z04_drz,2024-11-09,HST,WFC3,F160W,-3.56E-05,1.39E-21,-7.60E-22,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_12445_7n_wfc3_ir_f125w_ibtm7n/hst_12445_7n_wfc3_ir_f125w_ibtm7n_drz.fits,hst_12445_7n_wfc3_ir_f125w_ibtm7n_drz,2024-11-09,HST,WFC3,F125W,-3.56E-05,-2.07E-26,-1.75E-26,3.56E-05,,
Ferguson,/astro/armin/bhoomika/pantheon_data_folder/Ferguson/mastDownload/HST/hst_9727_27_acs_wfc_f775w_j8wq27/hst_9727_27_acs_wfc_f775w_j8wq27_drc.fits,hst_9727_27_acs_wfc_f775w_j8wq27_drc,2024-11-07,HST,ACS,F775W,-1.39E-05,1.57E-27,6.02E-27,1.39E-05,,
