,SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,RA_SN,Dec_SN,filenameshort,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,ISOAREA_IMAGE,X_IMAGE,Y_IMAGE,CXX,CXY,CYY,OFFSET,RE,d_DLR,F_HOST_4,a_pixels,b_pixels,theta_deg,alpha_deg,PA_deg,theta_rad,pixscale,a_arcsec,b_arcsec
2628,110430,/astro/armin/bhoomika/pantheon_data_folder/110430/mastDownload/HST/hst_9919_03_acs_wfc_f775w_j8pv03/hst_9919_03_acs_wfc_f775w_j8pv03_drc.fits,hst_9919_03_acs_wfc_f775w_j8pv03_drc,2024-11-07,HST,ACS,F775W,-1.3888888888888e-05,-8.6507774171553e-22,-5.4472185878634005e-22,1.38888888888888e-05,,,hst_9919_03_acs_wfc_f775w_j8pv03_drc.fits,,,,,,,,,,,,,,,,,,,,,,,,3.5687018556726115e-15,,,0.04999999999999824,,
2629,110430,/astro/armin/bhoomika/pantheon_data_folder/110430/mastDownload/HST/hst_10574_01_acs_wfc_f775w_j9dt01/hst_10574_01_acs_wfc_f775w_j9dt01_drc.fits,hst_10574_01_acs_wfc_f775w_j9dt01_drc,2024-11-07,HST,ACS,F775W,-1.3888888888888e-05,1.59712506088967e-22,6.61768921733119e-23,1.38888888888888e-05,,,hst_10574_01_acs_wfc_f775w_j9dt01_drc.fits,,,,,,,,,,,,,,,,,,,,,,,,-6.588613824735838e-16,,,0.04999999999999824,,
2630,110430,/astro/armin/bhoomika/pantheon_data_folder/110430/mastDownload/HST/hst_10496_w4_acs_wfc_f775w_j9epw4/hst_10496_w4_acs_wfc_f775w_j9epw4_drc.fits,hst_10496_w4_acs_wfc_f775w_j9epw4_drc,2024-11-04,HST,ACS,F775W,-1.3888888888888e-05,-4.1693052986038e-23,-3.3891163453471e-23,1.38888888888888e-05,,,hst_10496_w4_acs_wfc_f775w_j9epw4_drc.fits,,,,,,,,,,,,,,,,,,,,,,,,1.719961899203021e-16,,,0.04999999999999824,,
2631,110430,/astro/armin/bhoomika/pantheon_data_folder/110430/mastDownload/HST/hst_9480_jp_acs_wfc_f775w_j8hojp/hst_9480_jp_acs_wfc_f775w_j8hojp_drc.fits,hst_9480_jp_acs_wfc_f775w_j8hojp_drc,2024-11-07,HST,ACS,F775W,-1.3888888888888e-05,-4.2529967699188e-24,-5.1654811563286e-24,1.38888888888888e-05,,,hst_9480_jp_acs_wfc_f775w_j8hojp_drc.fits,,,,,,,,,,,,,,,,,,,,,,,,1.754487109433667e-17,,,0.04999999999999824,,
2632,110430,/astro/armin/bhoomika/pantheon_data_folder/110430/mastDownload/HST/hst_10496_w5_acs_wfc_f775w_j9epw5/hst_10496_w5_acs_wfc_f775w_j9epw5_drc.fits,hst_10496_w5_acs_wfc_f775w_j9epw5_drc,2024-11-02,HST,ACS,F775W,-1.3888888888888e-05,-2.0150603717859e-22,1.81842316314101e-23,1.38888888888888e-05,,,hst_10496_w5_acs_wfc_f775w_j9epw5_drc.fits,,,,,,,,,,,,,,,,,,,,,,,,8.312720743252466e-16,,,0.04999999999999824,,
2633,110430,/astro/armin/bhoomika/pantheon_data_folder/110430/mastDownload/HST/hst_9480_jr_acs_wfc_f775w_j8hojr/hst_9480_jr_acs_wfc_f775w_j8hojr_drc.fits,hst_9480_jr_acs_wfc_f775w_j8hojr_drc,2024-11-04,HST,ACS,F775W,-1.3888888888888e-05,3.15513013271108e-24,-2.4688908700652e-24,1.38888888888888e-05,,,hst_9480_jr_acs_wfc_f775w_j8hojr_drc.fits,,,,,,,,,,,,,,,,,,,,,,,,-1.3015846110160611e-17,,,0.04999999999999824,,
2634,110430,/astro/armin/bhoomika/pantheon_data_folder/110430/mastDownload/HST/hst_10574_03_acs_wfc_f775w_j9dt03/hst_10574_03_acs_wfc_f775w_j9dt03_drc.fits,hst_10574_03_acs_wfc_f775w_j9dt03_drc,2024-11-02,HST,ACS,F775W,-1.3888888888888e-05,2.56353805879315e-22,-3.61656518712e-22,1.38888888888888e-05,,,hst_10574_03_acs_wfc_f775w_j9dt03_drc.fits,,,,,,,,,,,,,,,,,,,,,,,,-1.05753536200806e-15,,,0.04999999999999824,,
2635,110430,/astro/armin/bhoomika/pantheon_data_folder/110430/mastDownload/HST/hst_9919_01_acs_wfc_f775w_j8pv01/hst_9919_01_acs_wfc_f775w_j8pv01_drc.fits,hst_9919_01_acs_wfc_f775w_j8pv01_drc,2024-11-04,HST,ACS,F775W,-1.3888888888888e-05,-3.3211316164064003e-22,2.31152639289142e-22,1.38888888888888e-05,,,hst_9919_01_acs_wfc_f775w_j8pv01_drc.fits,,,,,,,,,,,,,,,,,,,,,,,,1.3700651387583531e-15,,,0.04999999999999824,,
2636,110430,/astro/armin/bhoomika/pantheon_data_folder/110430/mastDownload/HST/hst_10496_w6_acs_wfc_f775w_j9epw6/hst_10496_w6_acs_wfc_f775w_j9epw6_drc.fits,hst_10496_w6_acs_wfc_f775w_j9epw6_drc,2024-11-05,HST,ACS,F775W,-1.3888888888888e-05,-4.6992925960131e-23,3.33506413191067e-22,1.38888888888888e-05,,,hst_10496_w6_acs_wfc_f775w_j9epw6_drc.fits,,,,,,,,,,,,,,,,,,,,,,,,1.9385973536301257e-16,,,0.04999999999999824,,
2637,220,/astro/armin/bhoomika/pantheon_data_folder/220/mastDownload/HST/hst_16259_8l_wfc3_ir_f160w_iedw8l/hst_16259_8l_wfc3_ir_f160w_iedw8l_drz.fits,hst_16259_8l_wfc3_ir_f160w_iedw8l_drz,2024-11-09,HST,WFC3,F160W,-3.5625000794728e-05,1.88624017229169e-21,9.25236936045726e-22,3.56250007947286e-05,,,hst_16259_8l_wfc3_ir_f160w_iedw8l_drz.fits,,,,,,,,,,,,,,,,,,,,,,,,-3.033644873246842e-15,,,0.1282500028610219,,
