,SNID,filename,File_key,Date,Telescope,Instrument,Filter,CD1_1,CD1_2,CD2_1,CD2_2,RA_SN,Dec_SN,filenameshort,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Kron_Radius,Mag,Mag_Error,Flux,Flux_Error,ISOAREA_IMAGE,X_IMAGE,Y_IMAGE,CXX,CXY,CYY,OFFSET,RE,d_DLR,F_HOST_4,a_pixels,b_pixels,theta_deg,alpha_deg,PA_deg,theta_rad,pixscale,a_arcsec,b_arcsec
21,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch4-long/jw06138-c1010_t005_miri_ch4-long_s3d.fits,jw06138-c1010_t005_miri_ch4-long_s3d,2025-06-14T02:48:16.153,JWST,MIRI,,-9.72222205665376e-05,0.0,0.0,9.72222205665376e-05,,,jw06138-c1010_t005_miri_ch4-long_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch4-long/jw06138-o005_t005_miri_ch4-long_s3d.fits,jw06138-o005_t005_miri_ch4-long_s3d,2025-03-21T21:16:09.668,JWST,MIRI,,-9.72222205665376e-05,0.0,0.0,9.72222205665376e-05,,,jw06138-o005_t005_miri_ch4-long_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06023-o001_t001_miri_f1800w/jw06023-o001_t001_miri_f1800w_i2d.fits,jw06023-o001_t001_miri_f1800w_i2d,2025-06-19T14:08:06.793,JWST,MIRI,F1800W,7.538178908536844e-06,-2.987447361196724e-05,-2.987447361196724e-05,-7.538178908536844e-06,,,jw06023-o001_t001_miri_f1800w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch4-short/jw06138-o005_t005_miri_ch4-short_s3d.fits,jw06138-o005_t005_miri_ch4-short_s3d,2025-03-21T21:16:09.169,JWST,MIRI,,-9.72222205665376e-05,0.0,0.0,9.72222205665376e-05,,,jw06138-o005_t005_miri_ch4-short_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-o025_t007_nircam_clear-f300m/jw02107-o025_t007_nircam_clear-f300m_i2d.fits,jw02107-o025_t007_nircam_clear-f300m_i2d,2025-05-29T18:44:50.451,JWST,NIRCAM,F300M,-1.7403903821751297e-05,-1.8294023134225407e-06,-1.8294023134225407e-06,1.7403903821751297e-05,,,jw02107-o025_t007_nircam_clear-f300m_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch3-medium/jw06138-o005_t005_miri_ch3-medium_s3d.fits,jw06138-o005_t005_miri_ch3-medium_s3d,2025-03-21T21:16:08.402,JWST,MIRI,,-5.55555563833978e-05,0.0,0.0,5.55555563833978e-05,,,jw06138-o005_t005_miri_ch3-medium_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06023-o001_t001_miri_f2100w/jw06023-o001_t001_miri_f2100w_i2d.fits,jw06023-o001_t001_miri_f2100w_i2d,2025-06-19T14:08:05.455,JWST,MIRI,F2100W,7.538189449728073e-06,-2.987447087032792e-05,-2.987447087032792e-05,-7.538189449728073e-06,,,jw06023-o001_t001_miri_f2100w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-c1010_t005_miri_ch3-medium/jw06138-c1010_t005_miri_ch3-medium_s3d.fits,jw06138-c1010_t005_miri_ch3-medium_s3d,2025-06-14T02:48:14.706,JWST,MIRI,,-5.55555563833978e-05,0.0,0.0,5.55555563833978e-05,,,jw06138-c1010_t005_miri_ch3-medium_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw06138-o005_t005_miri_ch4-medium/jw06138-o005_t005_miri_ch4-medium_s3d.fits,jw06138-o005_t005_miri_ch4-medium_s3d,2025-03-21T21:16:09.423,JWST,MIRI,,-9.72222205665376e-05,0.0,0.0,9.72222205665376e-05,,,jw06138-o005_t005_miri_ch4-medium_s3d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2010el,/astro/armin/bhoomika/pantheon_data_folder/2010el/mastDownload/JWST/jw02107-o007_t007_miri_f1130w/jw02107-o007_t007_miri_f1130w_i2d.fits,jw02107-o007_t007_miri_f1130w_i2d,2025-05-29T19:36:21.402,JWST,MIRI,F1130W,-3.079989884870168e-05,-7.745921848328898e-07,-7.745921848328898e-07,3.079989884870168e-05,,,jw02107-o007_t007_miri_f1130w_i2d.fits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
